tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
หนองขุ่นใหญ่,NongKhunYai,ร้อยเอ็ด,Roi Et,16.234,104.146,8,7,1
แจนแวน,ChaenWaen,สุรินทร์,Surin,14.797,103.922,2,1,1
รัษฎา,,ภูเก็ต,Phuket,7.874,98.358,274,165,109
ทรายทอง,SaiThong,หนองบัวลำภู,Nong Bua Lam Phu,16.856,102.349,11,11,0
ไทยอุดม,ThaiUdom,สระแก้ว,Sa kaeo,13.407,102.26,4,2,2
ท่าโพธิ์,ThaPho,สงขลา,Songkhla,6.796,100.416,5,4,1
บ้านบอม,BanBom,ลำปาง,Lampang,18.054,99.489,2,2,0
นาคำ,NaKham,อุดรธานี,Udon Thani,17.691,103.17,16,10,6
บ้านแฮด,BanHaet,ขอนแก่น,Khon Kaen,16.211,102.778,2,2,0
บ้านแฮด,BanHaet,ขอนแก่น,Khon Kaen,16.211,102.778,5,3,2
